awardID,yearID,lgID_mvp,playerID,pointsWon,pointsMax,votesFirst,lgID_batting,teamID,nameFirst,nameLast,nameGiven,retroID,bbrefID
MVP,1931,AL,averiea01,43,80,,AL,CLE,Earl,Averill,Howard Earl,avere101,averiea01
MVP,1931,AL,bluelu01,4,80,0,AL,CHA,Lu,Blue,Luzerne Atwell,bluel101,bluelu01
MVP,1931,AL,chapmbe01,7,80,0,AL,NYA,Ben,Chapman,William Benjamin,chapb102,chapmbe01
MVP,1931,AL,cochrmi01,16,80,,AL,PHA,Mickey,Cochrane,Gordon Stanley,cochm101,cochrmi01
MVP,1931,AL,cronijo01,18,80,,AL,WS1,Joe,Cronin,Joseph Edward,cronj101,cronijo01
MVP,1931,AL,earnsge01,12,80,,AL,PHA,George,Earnshaw,George Livingston,earng101,earnsge01
MVP,1931,AL,ferrewe01,12,80,,AL,CLE,Wes,Ferrell,Wesley Cheek,ferrw101,ferrewe01
MVP,1931,AL,foxxji01,1,80,0,AL,PHA,Jimmie,Foxx,James Emory,foxxj101,foxxji01
MVP,1931,AL,gehrich01,4,80,0,AL,DET,Charlie,Gehringer,Charles Leonard,gehrc101,gehrich01
MVP,1931,AL,gehrilo01,59,80,,AL,NYA,Lou,Gehrig,Henry Louis,gehrl101,gehrilo01
MVP,1931,AL,gosligo01,2,80,0,AL,SLA,Goose,Goslin,Leon Allen,goslg101,gosligo01
MVP,1931,AL,grovele01,78,80,,AL,PHA,Lefty,Grove,Robert Moses,grovl101,grovele01
MVP,1931,AL,kressre01,3,80,0,AL,SLA,Red,Kress,Ralph,kresr101,kressre01
MVP,1931,AL,macfada01,2,80,0,AL,BOS,Danny,MacFayden,Daniel Knowles,macfd101,macfada01
MVP,1931,AL,marbefi01,11,80,,AL,WS1,Firpo,Marberry,Frederick,marbf101,marbefi01
MVP,1931,AL,melilsk01,17,80,,AL,SLA,Ski,Melillo,Oscar Donald,melis101,melilsk01
MVP,1931,AL,oliveto01,2,80,0,AL,BOS,Tom,Oliver,Thomas Noble,olivt101,oliveto01
MVP,1931,AL,reynoca01,2,80,0,AL,CHA,Carl,Reynolds,Carl Nettles,reync102,reynoca01
MVP,1931,AL,rhyneha01,10,80,,AL,BOS,Hal,Rhyne,Harold J.,rhynh101,rhyneha01
MVP,1931,AL,ruthba01,40,80,,AL,NYA,Babe,Ruth,George Herman,ruthb101,ruthba01
MVP,1931,AL,simmoal01,51,80,,AL,PHA,Al,Simmons,Aloysius Harry,simma101,simmoal01
MVP,1931,AL,stewale01,2,80,0,AL,SLA,Lefty,Stewart,Walter Cleveland,stewl101,stewale01
MVP,1931,AL,stonejo01,6,80,0,AL,DET,John,Stone,John Thomas,stonj102,stonejo01
MVP,1931,AL,webbea01,22,80,,AL,BOS,Earl,Webb,William Earl,webbe101,webbea01
MVP,1931,AL,westsa01,16,80,,AL,WS1,Sam,West,Samuel Filmore,wests101,westsa01
MVP,1931,NL,adamssp01,18,80,,NL,SLN,Sparky,Adams,Earl John,adams101,adamssp01
MVP,1931,NL,bartedi01,2,80,0,NL,PHI,Dick,Bartell,Richard William,bartd101,bartedi01
MVP,1931,NL,bottoji01,8,80,0,NL,SLN,Jim,Bottomley,James Leroy,bottj101,bottoji01
MVP,1931,NL,branded01,15,80,,NL,BSN,Ed,Brandt,Edward Arthur,brane101,branded01
MVP,1931,NL,clarkwa02,3,80,0,NL,BRO,Watty,Clark,William Watson,clarw101,clarkwa02
MVP,1931,NL,cuccito01,1,80,0,NL,CIN,Tony,Cuccinello,Anthony Francis,cucct101,cuccito01
MVP,1931,NL,cuyleki01,14,80,,NL,CHN,Kiki,Cuyler,Hazen Shirley,cuylk101,cuyleki01
MVP,1931,NL,derripa01,3,80,0,NL,SLN,Paul,Derringer,Samuel Paul,derrp101,derripa01
MVP,1931,NL,ellioju01,6,80,0,NL,PHI,Jumbo,Elliott,James Thomas,ellij103,ellioju01
MVP,1931,NL,engliwo01,30,80,,NL,CHN,Woody,English,Elwood George,englw101,engliwo01
MVP,1931,NL,finnne01,5,80,0,NL,BRO,Neal,Finn,Cornelius Francis,finnn101,finnne01
MVP,1931,NL,fitzsfr01,1,80,0,NL,NY1,Freddie,Fitzsimmons,Fred Landis,fitzf101,fitzsfr01
MVP,1931,NL,friscfr01,65,80,,NL,SLN,Frankie,Frisch,Frank Francis,frisf101,friscfr01
MVP,1931,NL,gelbech01,1,80,0,NL,SLN,Charlie,Gelbert,Charles Magnus,gelbc101,gelbech01
MVP,1931,NL,grimmch01,21,80,,NL,CHN,Charlie,Grimm,Charles John,grimc101,grimmch01
MVP,1931,NL,hafeych01,29,80,,NL,SLN,Chick,Hafey,Charles James,hafec101,hafeych01
MVP,1931,NL,jackstr01,24,80,,NL,NY1,Travis,Jackson,Travis Calvin,jackt101,jackstr01
MVP,1931,NL,kleinch01,55,80,,NL,PHI,Chuck,Klein,Charles Herbert,kleic101,kleinch01
MVP,1931,NL,lucasre01,10,80,,NL,CIN,Red,Lucas,Charles Fred,lucar102,lucasre01
MVP,1931,NL,maranra01,15,80,,NL,BSN,Rabbit,Maranville,Walter James Vincent,marar101,maranra01
MVP,1931,NL,odoulle01,1,80,0,NL,BRO,Lefty,O'Doul,Francis Joseph,odoul101,o'doule01
MVP,1931,NL,quinnja01,6,80,0,NL,BRO,Jack,Quinn,John Picus,quinj102,quinnja01
MVP,1931,NL,rootch01,3,80,0,NL,CHN,Charley,Root,Charles Henry,rootc101,rootch01
MVP,1931,NL,terrybi01,53,80,,NL,NY1,Bill,Terry,William Harold,terrb101,terrybi01
MVP,1931,NL,traynpi01,12,80,,NL,PIT,Pie,Traynor,Harold Joseph,trayp101,traynpi01
MVP,1931,NL,vergejo01,2,80,0,NL,NY1,Johnny,Vergez,Jean Louis,vergj101,vergejo01
MVP,1931,NL,wanerll01,8,80,0,NL,PIT,Lloyd,Waner,Lloyd James,wanel101,wanerll01
MVP,1931,NL,wilsoji01,28,80,,NL,SLN,Jimmie,Wilson,James,wilsj105,wilsoji01
MVP,1931,NL,wrighgl01,1,80,0,NL,BRO,Glenn,Wright,Forest Glenn,wrigg102,wrighgl01
MVP,1932,AL,alexada01,10,80,,AL,---,Dale,Alexander,David Dale,alexd101,alexada01
MVP,1932,AL,allenjo02,8,80,0,AL,NYA,Johnny,Allen,John Thomas,allej102,allenjo02
MVP,1932,AL,averiea01,37,80,,AL,CLE,Earl,Averill,Howard Earl,avere101,averiea01
MVP,1932,AL,cissebi01,10,80,,AL,---,Bill,Cissell,Chalmer William,cissb101,cissebi01
MVP,1932,AL,cronijo01,26,80,,AL,WS1,Joe,Cronin,Joseph Edward,cronj101,cronijo01
MVP,1932,AL,crowdal01,2,80,0,AL,WS1,Alvin,Crowder,Alvin Floyd,crowg102,crowdal01
MVP,1932,AL,davisha02,5,80,0,AL,DET,Harry,Davis,Harry Albert,davih103,davisha02
MVP,1932,AL,dickebi01,8,80,0,AL,NYA,Bill,Dickey,William Malcolm,dickb101,dickebi01
MVP,1932,AL,ferreri01,9,80,0,AL,SLA,Rick,Ferrell,Richard Benjamin,ferrr101,ferreri01
MVP,1932,AL,ferrewe01,5,80,0,AL,CLE,Wes,Ferrell,Wesley Cheek,ferrw101,ferrewe01
MVP,1932,AL,foxxji01,75,80,5,AL,PHA,Jimmie,Foxx,James Emory,foxxj101,foxxji01
MVP,1932,AL,gehrich01,13,80,,AL,DET,Charlie,Gehringer,Charles Leonard,gehrc101,gehrich01
MVP,1932,AL,gehrilo01,55,80,,AL,NYA,Lou,Gehrig,Henry Louis,gehrl101,gehrilo01
MVP,1932,AL,gomezle01,27,80,,AL,NYA,Lefty,Gomez,Vernon Louis,gomel102,gomezle01
MVP,1932,AL,gosligo01,7,80,0,AL,SLA,Goose,Goslin,Leon Allen,goslg101,gosligo01
MVP,1932,AL,grovele01,8,80,0,AL,PHA,Lefty,Grove,Robert Moses,grovl101,grovele01
MVP,1932,AL,harrida01,5,80,0,AL,WS1,Dave,Harris,David Stanley,harrd101,harrida01
MVP,1932,AL,jollesm01,3,80,0,AL,---,Smead,Jolley,Smead Powell,jolls101,jollesm01
MVP,1932,AL,lazzeto01,21,80,,AL,NYA,Tony,Lazzeri,Anthony Michael,lazzt101,lazzeto01
MVP,1932,AL,leveyji01,5,80,0,AL,SLA,Jim,Levey,James Julius,levej101,leveyji01
MVP,1932,AL,lyonste01,5,80,0,AL,CHA,Ted,Lyons,Theodore Amar,lyont102,lyonste01
MVP,1932,AL,manushe01,41,80,,AL,WS1,Heinie,Manush,Henry Emmett,manuh101,manushe01
MVP,1932,AL,mcmanma01,2,80,0,AL,BOS,Marty,McManus,Martin Joseph,mcmam101,mcmanma01
MVP,1932,AL,mcnaier01,3,80,0,AL,PHA,Eric,McNair,Donald Eric,mcnae101,mcnaier01
MVP,1932,AL,ruthba01,26,80,,AL,NYA,Babe,Ruth,George Herman,ruthb101,ruthba01
MVP,1932,AL,seweljo01,1,80,0,AL,NYA,Joe,Sewell,Joseph Wheeler,sewej101,seweljo01
MVP,1932,AL,simmoal01,13,80,,AL,PHA,Al,Simmons,Aloysius Harry,simma101,simmoal01
MVP,1932,AL,sullibi04,3,80,0,AL,CHA,Billy,Sullivan,William Joseph,sullb103,sullibi04
MVP,1932,AL,walkege02,1,80,0,AL,DET,Gee,Walker,Gerald Holmes,walkg101,walkege02
MVP,1932,AL,weavemo01,6,80,0,AL,WS1,Monte,Weaver,Montie Morton,weavm101,weavemo01
MVP,1932,NL,bergewa01,6,80,0,NL,BSN,Wally,Berger,Walter Anton,bergw101,bergewa01
MVP,1932,NL,brownbo02,10,80,,NL,BSN,Bob,Brown,Robert Murray,browb106,brownbo02
MVP,1932,NL,bushgu01,1,80,0,NL,CHN,Guy,Bush,Guy Terrell,bushg101,bushgu01
MVP,1932,NL,colliri02,3,80,0,NL,SLN,Ripper,Collins,James Anthony,collr101,colliri02
MVP,1932,NL,cuccito01,4,80,0,NL,BRO,Tony,Cuccinello,Anthony Francis,cucct101,cuccito01
MVP,1932,NL,deandi01,4,80,0,NL,SLN,Dizzy,Dean,Jay Hanna,deand102,deandi01
MVP,1932,NL,friscfr01,3,80,0,NL,SLN,Frankie,Frisch,Frank Francis,frisf101,friscfr01
MVP,1932,NL,hermaba01,8,80,0,NL,CIN,Babe,Herman,Floyd Caves,hermb102,hermaba01
MVP,1932,NL,hermabi01,16,80,,NL,CHN,Billy,Herman,William Jennings Bryan,hermb101,hermabi01
MVP,1932,NL,hurstdo01,24,80,,NL,PHI,Don,Hurst,Frank O'Donnell,hursd101,hurstdo01
MVP,1932,NL,kleinch01,78,80,6,NL,PHI,Chuck,Klein,Charles Herbert,kleic101,kleinch01
MVP,1932,NL,maranra01,5,80,0,NL,BSN,Rabbit,Maranville,Walter James Vincent,marar101,maranra01
MVP,1932,NL,odoulle01,58,80,,NL,BRO,Lefty,O'Doul,Francis Joseph,odoul101,o'doule01
MVP,1932,NL,orsater01,6,80,0,NL,SLN,Ernie,Orsatti,Ernest Ralph,orsae101,orsater01
MVP,1932,NL,ottme01,15,80,,NL,NY1,Mel,Ott,Melvin Thomas,ott-m101,ottme01
MVP,1932,NL,stephri01,32,80,,NL,CHN,Riggs,Stephenson,Jackson Riggs,stepr101,stephri01
MVP,1932,NL,terrybi01,25,80,,NL,NY1,Bill,Terry,William Harold,terrb101,terrybi01
MVP,1932,NL,traynpi01,17,80,,NL,PIT,Pie,Traynor,Harold Joseph,trayp101,traynpi01
MVP,1932,NL,vaughar01,1,80,0,NL,PIT,Arky,Vaughan,Joseph Floyd,vauga101,vaughar01
MVP,1932,NL,wanerll01,6,80,0,NL,PIT,Lloyd,Waner,Lloyd James,wanel101,wanerll01
MVP,1932,NL,wanerpa01,37,80,,NL,PIT,Paul,Waner,Paul Glee,wanep101,wanerpa01
MVP,1932,NL,warnelo01,68,80,,NL,CHN,Lon,Warneke,Lonnie,warnl101,warnelo01
MVP,1932,NL,wilsoha01,6,80,0,NL,BRO,Hack,Wilson,Lewis Robert,wilsh102,wilsoha01
