Rank,Score,Stat,Season,lgID
0,0.180323129,AVG,2008,AL
1,0.158395505,RBI/PA,2008,AL
2,0.112378104,FP,2008,AL
3,0.108518201,OBP,2008,AL
4,0.096430619,WAR_bat,2008,AL
5,0.068075005,PA,2008,AL
6,0.045569104,R/PA,2008,AL
7,0.036663842,HR/PA,2008,AL
8,0.025093904,SLG,2008,AL
9,0.02266184,SB,2008,AL
0,0.338723764,SLG,2009,AL
1,0.208009808,Pos_1B,2009,AL
2,0.096538151,AVG,2009,AL
3,0.092520849,wOBA,2009,AL
4,0.072376992,OBP,2009,AL
5,0.044383841,Pos_SS,2009,AL
6,0.041743537,WAR_bat,2009,AL
7,0.032560953,PA,2009,AL
8,0.02423542,HR/PA,2009,AL
9,0.013026031,R/PA,2009,AL
0,0.257912931,R/PA,2010,AL
1,0.185285042,AVG,2010,AL
2,0.158112423,WAR_bat,2010,AL
3,0.116406174,SLG,2010,AL
4,0.088022326,wOBA,2010,AL
5,0.061228838,OBP,2010,AL
6,0.026419543,PA,2010,AL
7,0.018881851,HR/PA,2010,AL
8,0.017011516,Pos_2B,2010,AL
9,0.016515811,SB,2010,AL
0,0.236732792,wOBA,2011,AL
1,0.158963294,R/PA,2011,AL
2,0.130294791,SLG,2011,AL
3,0.073760068,AVG,2011,AL
4,0.056520094,WAR_bat,2011,AL
5,0.050045856,W_pit,2011,AL
6,0.046658609,IP,2011,AL
7,0.04299969,WAR_pit,2011,AL
8,0.028413895,PA,2011,AL
9,0.023765906,Pos_CF,2011,AL
0,0.438304486,WAR_bat,2012,AL
1,0.089846802,R/PA,2012,AL
2,0.087128599,SLG,2012,AL
3,0.082420993,Pos_3B,2012,AL
4,0.063279625,HR/PA,2012,AL
5,0.050366396,PA,2012,AL
6,0.0471159,AVG,2012,AL
7,0.042928221,Pos_CF,2012,AL
8,0.020541989,OBP,2012,AL
9,0.018050825,wOBA,2012,AL
0,0.66235763,WAR_bat,2013,AL
1,0.1017817,PA,2013,AL
2,0.072089103,OBP,2013,AL
3,0.050502467,wOBA,2013,AL
4,0.022004598,AVG,2013,AL
5,0.021134754,HR/PA,2013,AL
6,0.015823073,SLG,2013,AL
7,0.012154813,R/PA,2013,AL
8,0.011743584,Pos_3B,2013,AL
9,0.010344469,RBI/PA,2013,AL
0,0.262636875,wOBA,2014,AL
1,0.166410214,SLG,2014,AL
2,0.126859725,R/PA,2014,AL
3,0.112883998,WAR_bat,2014,AL
