Rank,Score,Stat,Season,lgID
0,0.28748431069492064,RBI/PA,2008,AL
1,0.1506856281564073,WAR_bat,2008,AL
2,0.09246225889692755,PA,2008,AL
3,0.08892652087960787,AVG,2008,AL
4,0.07462036088849414,OBP,2008,AL
5,0.07195026538016934,wOBA,2008,AL
6,0.0416791409282524,FP,2008,AL
7,0.03526928411234322,HR/PA,2008,AL
8,0.02913179014353613,SB,2008,AL
9,0.028042079587098853,R/PA,2008,AL
0,0.17451996483198107,WAR_bat,2009,AL
1,0.13368799731662043,AVG,2009,AL
2,0.1014875828505968,SLG,2009,AL
3,0.09986080785999457,OPS,2009,AL
4,0.09195391251272717,PA,2009,AL
5,0.09122241266956754,wOBA,2009,AL
6,0.07463986599040821,RBI/PA,2009,AL
7,0.05934427176794603,OBP,2009,AL
8,0.04166740272910563,FP,2009,AL
9,0.03229204595035845,HR/PA,2009,AL
0,0.28404420086595417,AVG,2010,AL
1,0.14007405366064865,WAR_bat,2010,AL
2,0.10766693229426698,SLG,2010,AL
3,0.08780962131404679,FP,2010,AL
4,0.05911265343601852,OPS,2010,AL
5,0.05754142263846158,OBP,2010,AL
6,0.054486706517389814,PA,2010,AL
7,0.05113674298673395,R/PA,2010,AL
8,0.04896000143976778,wOBA,2010,AL
9,0.0341497759630362,RBI/PA,2010,AL
0,0.1986267497567706,SLG,2011,AL
1,0.15880808648863073,OPS,2011,AL
2,0.143653604297077,AVG,2011,AL
3,0.10011496158103379,wOBA,2011,AL
4,0.08017491193411574,WAR_bat,2011,AL
5,0.050568512247245144,PA,2011,AL
6,0.05044924235666158,R/PA,2011,AL
7,0.04368714482044345,IP,2011,AL
8,0.04063638310456427,W_pit,2011,AL
9,0.0367404380431201,FP,2011,AL
0,0.21116779448127954,WAR_bat,2012,AL
1,0.19199538779715758,SLG,2012,AL
2,0.1430283198863549,R/PA,2012,AL
3,0.07770142913508128,OPS,2012,AL
4,0.07579490824986648,wOBA,2012,AL
5,0.05121770530758557,AVG,2012,AL
6,0.0441335118839343,W_pit,2012,AL
7,0.04205813583298889,IP,2012,AL
8,0.036502644290048805,PA,2012,AL
9,0.025782641375127636,HR/PA,2012,AL
0,0.4973027276021587,WAR_bat,2013,AL
1,0.0972405978069343,SLG,2013,AL
2,0.07864285827176742,PA,2013,AL
3,0.04649780122296093,wOBA,2013,AL
4,0.04014624882898743,OPS,2013,AL
5,0.034466152875344054,W_pit,2013,AL
6,0.03436693474905181,IP,2013,AL
7,0.034346318349521295,AVG,2013,AL
8,0.02889378484490154,RBI/PA,2013,AL
9,0.026056374041448057,HR/PA,2013,AL
0,0.6896571893306513,WAR_bat,2014,AL
1,0.048109859829416415,PA,2014,AL
2,0.04386302590787962,SLG,2014,AL
3,0.03707120927436145,HR/PA,2014,AL
4,0.03584613894101815,R/PA,2014,AL
5,0.02818648052920881,OBP,2014,AL
6,0.02453258723965601,OPS,2014,AL
7,0.021115667366245774,AVG,2014,AL
8,0.02103628391170588,RBI/PA,2014,AL
9,0.017594195703003905,wOBA,2014,AL
0,0.7397808019575917,WAR_bat,2015,AL
1,0.05243145709718837,OBP,2015,AL
2,0.03135777003498945,SLG,2015,AL
3,0.030290871597576763,PA,2015,AL
4,0.02437141747813601,R/PA,2015,AL
5,0.02276625952900182,OPS,2015,AL
6,0.021081266509285494,AVG,2015,AL
7,0.014578448417366108,FP,2015,AL
8,0.012908822113627892,wOBA,2015,AL
9,0.009102959667760733,RBI/PA,2015,AL
0,0.6752671873409557,WAR_bat,2016,AL
1,0.05209643316866949,SLG,2016,AL
2,0.051761618623247706,R/PA,2016,AL
3,0.0333009242760319,OBP,2016,AL
4,0.033130416318619384,wOBA,2016,AL
5,0.032385953908858844,AVG,2016,AL
6,0.02239138575232897,OPS,2016,AL
7,0.021873572403492775,RBI/PA,2016,AL
8,0.016278627109154214,SB,2016,AL
9,0.015661605001953564,FP,2016,AL
0,0.8175460188500122,WAR_bat,2017,AL
1,0.02326157233938338,PA,2017,AL
2,0.018693040372632683,AVG,2017,AL
3,0.01720338664610919,SB,2017,AL
4,0.017199882609534305,OBP,2017,AL
5,0.01588686024211011,wOBA,2017,AL
6,0.015607867570790806,FP,2017,AL
7,0.01446506783149171,R/PA,2017,AL
8,0.011070077365589487,SLG,2017,AL
9,0.010315461842207153,RBI/PA,2017,AL
0,0.799370003832111,WAR_bat,2018,AL
1,0.042959009970756114,AVG,2018,AL
2,0.03287903378414167,OBP,2018,AL
3,0.022219920679750402,PA,2018,AL
4,0.018958431833521566,SB,2018,AL
5,0.01895519338940618,OPS,2018,AL
6,0.012908433349223937,wOBA,2018,AL
7,0.010097902042523605,RBI/PA,2018,AL
8,0.009911604005527165,FP,2018,AL
9,0.008734745676619077,HR/PA,2018,AL
0,0.2454110716227658,SLG,2008,NL
1,0.1313225397784259,OPS,2008,NL
2,0.12745467273764138,PA,2008,NL
3,0.11989614667371329,HR/PA,2008,NL
4,0.10720882445975678,RBI/PA,2008,NL
5,0.07496518154558775,WAR_bat,2008,NL
6,0.03652831135194944,wOBA,2008,NL
7,0.033418861260785145,R/PA,2008,NL
8,0.031769801167625206,OBP,2008,NL
9,0.029442915270516647,FP,2008,NL
0,0.20763990271381805,SLG,2009,NL
1,0.16066898209627803,RBI/PA,2009,NL
2,0.13426595397037586,OPS,2009,NL
3,0.12927810032819093,PA,2009,NL
4,0.07248118372638178,HR/PA,2009,NL
5,0.059281098816402686,WAR_bat,2009,NL
6,0.054424664000173414,R/PA,2009,NL
7,0.044995902598638976,AVG,2009,NL
8,0.028988723315385215,wOBA,2009,NL
9,0.026254252622004908,SB,2009,NL
0,0.42793723283115065,SLG,2010,NL
1,0.1887809927098521,RBI/PA,2010,NL
2,0.08025809108551148,HR/PA,2010,NL
3,0.0657163690097053,OPS,2010,NL
4,0.03378341494733949,wOBA,2010,NL
5,0.027219257633398105,WAR_bat,2010,NL
6,0.026444768559336602,SB,2010,NL
7,0.024011363807489097,R/PA,2010,NL
8,0.022480630130211607,PA,2010,NL
9,0.022316299259851364,AVG,2010,NL
0,0.42265746037040774,SLG,2011,NL
1,0.12559231030816748,OPS,2011,NL
2,0.10986164932836526,WAR_bat,2011,NL
3,0.0635072558790201,R/PA,2011,NL
4,0.06323822765861055,RBI/PA,2011,NL
5,0.050520043025304995,PA,2011,NL
6,0.05027575723462795,wOBA,2011,NL
7,0.020582204492626703,HR/PA,2011,NL
8,0.018834478512474936,SB,2011,NL
9,0.017921301646483687,AVG,2011,NL
0,0.44477163314662704,WAR_bat,2012,NL
1,0.139776410448138,OPS,2012,NL
2,0.0828689834464763,wOBA,2012,NL
3,0.06028879887171986,SLG,2012,NL
4,0.04846671561149133,PA,2012,NL
5,0.040836794997132095,AVG,2012,NL
6,0.03928253675134005,OBP,2012,NL
7,0.036231466601939544,R/PA,2012,NL
8,0.026213592330926492,HR/PA,2012,NL
9,0.026150169424526637,RBI/PA,2012,NL
0,0.6358289952950253,WAR_bat,2013,NL
1,0.056995432742202014,OBP,2013,NL
2,0.04081496463667153,AVG,2013,NL
3,0.035287562163645037,PA,2013,NL
4,0.034832308807052514,HR/PA,2013,NL
5,0.03290180542905409,OPS,2013,NL
6,0.026695458775640543,RBI/PA,2013,NL
7,0.02431491651387872,SB,2013,NL
8,0.020632983011326433,wOBA,2013,NL
9,0.02008671966226214,SLG,2013,NL
0,0.6285158905770211,WAR_bat,2014,NL
1,0.07770709624194844,WAR_pit,2014,NL
2,0.050635399574921365,CG,2014,NL
3,0.04484352999984534,AVG,2014,NL
4,0.03493905450137056,SLG,2014,NL
5,0.018239581563418122,OPS,2014,NL
6,0.018195517125917823,FP,2014,NL
7,0.018034799635319308,RBI/PA,2014,NL
8,0.017079051113739304,SB,2014,NL
9,0.01518619626901545,W_pit,2014,NL
0,0.5011214125684522,WAR_bat,2015,NL
1,0.07757291267361464,FP,2015,NL
2,0.06133356426298538,CG,2015,NL
3,0.04288328547254654,OPS,2015,NL
4,0.03791829836483518,PA,2015,NL
5,0.03536538603950955,RBI/PA,2015,NL
6,0.03461100368546729,WAR_pit,2015,NL
7,0.03454372047218535,SB,2015,NL
8,0.030155566754515216,AVG,2015,NL
9,0.02847785769109196,SLG,2015,NL
0,0.407993107510522,WAR_bat,2016,NL
1,0.09980275679425683,OPS,2016,NL
2,0.07650431610901144,SLG,2016,NL
3,0.06883772437745304,CG,2016,NL
4,0.048149146075775695,RBI/PA,2016,NL
5,0.044248337625366715,PA,2016,NL
6,0.0429892458053895,FP,2016,NL
7,0.041897440309867945,wOBA,2016,NL
8,0.027290687806297433,W_pit,2016,NL
9,0.0264044162516912,R/PA,2016,NL
0,0.360759198088505,WAR_bat,2017,NL
1,0.15005973151159316,OPS,2017,NL
2,0.12926705394704263,PA,2017,NL
3,0.09833165461853687,SLG,2017,NL
4,0.042357428019732156,wOBA,2017,NL
5,0.037902788672072786,HR/PA,2017,NL
6,0.03552137165722431,OBP,2017,NL
7,0.03042632852599665,R/PA,2017,NL
8,0.025762630751878974,RBI/PA,2017,NL
9,0.019031685059152696,FP,2017,NL
0,0.47121617448452485,WAR_bat,2018,NL
1,0.13404375936295054,PA,2018,NL
2,0.12077911368426764,SLG,2018,NL
3,0.05666123459691803,OPS,2018,NL
4,0.03201365999896624,R/PA,2018,NL
5,0.031067169802468278,RBI/PA,2018,NL
6,0.029485478035444865,HR/PA,2018,NL
